6063606	Berlin	10713	52,48873738	13,30283351	562900	5629	56	0	Kantinen	Erbringung sonstiger Verpflegungsdienstleistungen	Gastronomie	39	Kleingewerbetreibender
131831318	Berlin	10713	52,47929564	13,31905134	47430	4743	47	0	EH m. Geräten der Unterhaltungselektronik	EH m. Geräten der Unterhaltungselektronik	Einzelhandel (ohne Handel mit Kraftfahrzeugen)	38	Kleingewerbetreibender
9,43032E+11	Berlin	12047	52,48619997	13,42931164	731108	7311	73	0	Promotion, Propagandisten	Werbeagenturen	Werbung u. Marktforschung	11	im Handelsregister eingetragen
9,27439E+11	Berlin	12435	52,49220653	13,45132444	451103	4511	45	1 - 3 Beschäftigte	EH m. Elektro-, Gas- u. Hybridfahrzeugen	Handel m. Kraftwagen mit einem Gesamtgewicht v. 3,5 t oder w	Handel mit Kraftfahrzeugen; Instandhaltung u. Reparatur v. K	8	Kleingewerbetreibender
